"id","acronym","status","title","startDate","endDate","totalCost","ecMaxContribution","legalBasis","topics","ecSignatureDate","frameworkProgramme","masterCall","subCall","fundingScheme","nature","objective","contentUpdateDate","rcn","grantDoi"
"722824","SitC","CLOSED","Science in the City","2016-05-01","2017-11-30","242250","160000","H2020-EU.1.3.","MSCA-NIGHT-2016","2016-06-24","H2020","H2020-MSCA-NIGHT-2016","H2020-MSCA-NIGHT-2016","CSA","","Science in the City is a national Festival that marries Science and the Arts to create a unique experience for the whole family. Our Researchers come together to help set up a night of education, entertainment and science-filled wonder in our capital city.","2022-08-16 23:46:00","207410","10.3030/722824"
"739767","PPSSR","CLOSED","Privacy Preserving Secure Speech Recognition","2017-09-29","2018-09-28","97500","97500","H2020-EU.2.3.","INNOSUP-02-2016","2017-08-21","H2020","H2020-INNOSUP-2016-2017","H2020-INNOSUP-02-2016","CSA","","The aim of this project is to overcome barriers to the recruitment of highly qualified specialist (PHD or equivalent ) in semantic cryptography for speech processing that cannot be recruited on the national job market, but whose knowledge would be crucial to open up opportunities for innovation and significant growth for our business by realising secure speech recognition in the cloud.","2022-08-15 13:14:00","211728","10.3030/739767"
"862102","DINEMOS","CLOSED","Discovery of New Molecular Semiconductors","2019-07-01","2021-06-30","0","150000","H2020-EU.1.1.","ERC-2019-POC","2019-05-24","H2020","ERC-2019-PoC","ERC-2019-PoC","ERC-POC-LS","","This project has two main deliverables in the area of organic electronics:(i)A database of molecular semiconductors with predicted high charge mobility. This database contains molecular materials that are characterized structurally but the vast majority of its entries are not tested or intellectually protected as molecular semiconductors. The quality of our predictions was verified in a recent paper published in Nature Materials (doi:10.1038/NMAT4970) and such database is therefore of great commercial value.(ii)A software to predict the charge mobility of newly synthesized molecular materials. Such product will help all developers of new materials to identify their best lead compounds and explore rapidly many variants. Saving time (only the most promising candidates are characterized in full) and reducing the risk of competitors taking advantage of a discovery by minor modification of a good material.The exploitation plan includes intellectual protection (patent) of the best molecules in (i) and copyright of the software (in (ii)), followed by commercialization of both.","2022-08-23 19:07:00","223695","10.3030/862102"
"699649","ZEP15","CLOSED","ZEP15","2015-07-20","2015-12-19","160000","120000","H2020-EU.3.3.","Energy75","2016-03-07","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","The objective of the ZEP15 proposal is to provide support to the development and communication of policy messages of the European CCS community (represented by European Technology Platform ZEP (ETP-ZEP)). Support will be given to the internal organizational and administrative processes within ZEP in order to enable ZEP to carry out activities that are beneficial to the European CCS community, as well as to externally oriented communications activities for bringing the messages of ZEP to the European CCS community.","2022-08-11 11:30:00","200865","10.3030/699649"
"820840","SPARE","SIGNED","Full scale innovative composite pax and cargo floor grids for regional Aircraft Fuselage barrel on -ground demonstrators.","2018-10-01","2021-11-30","1433375","1110387,5","H2020-EU.3.4.","JTI-CS2-2017-CfP07-REG-01-14","2018-09-28","H2020","H2020-CS2-CFP07-2017-02","H2020-CS2-CFP07-2017-02","CS2-IA","","The Project addresses the manufacturing of 2 full shipsets of pax and cargo floor grids for regional Aircraft Fuselage barrel on .ground demostrators using thermoplastic resin reinforced with carbon fiber.The use of manufacturing technologies with a lot of potential for automation will be   explored (i.e. Progressive Roll Forming and Induction welding) in order to be  competitive in terms of weight saving and recurring cost reduction.","2022-08-23 18:02:00","218261","10.3030/820840"
"875164","H2OXIDES","CLOSED","Efficient hydrogen sensing with atomically engineered materials","2019-09-01","2021-02-28","0","150000","H2020-EU.1.1.","ERC-2019-POC","2019-08-26","H2020","ERC-2019-PoC","ERC-2019-PoC","ERC-POC-LS","","Hydrogen will be a key element of our future decarbonised economy as a sustainable energy vector. In the future economy, efficient hydrogen sensors will be a critical element. The high flammability of air-hydrogen mixtures and the minimal input power required to trigger combustion pose serious safety concerns. The light nature of the hydrogen molecule and its high diffusivity makes detection and leakage-control particularly challenging. Leak detection in a distribution network requires the availability of sensing elements with demanding performance targets. The objective of this project is to harness recent results in fundamental research in oxide electronics to develop an innovative material platform for ultra-sensitive resistive hydrogen sensors.","2022-08-23 23:16:00","224861","10.3030/875164"
"966788","BioAlkane","SIGNED","BioAlkane","2021-06-01","2022-11-30","0","150000","H2020-EU.1.1.","ERC-2020-POC","2021-01-20","H2020","ERC-2020-PoC","ERC-2020-PoC","ERC-POC-LS","","BioAlkane will provide the proof-of-concept for the economic and ecological feasibility of a new concept for the valorisation of waste fatty acids as alkanes useful for the energy and transportation sector. Using a new catalyst class (photodecarboxylases) we will establish a completely new method for the conversion of fatty acids into alkanes (instead of the traditionally used fatty acid methyl esters). Using a novel photoreactor design, we will overcome current limitations of photobiocatalysis (i.e. low quantum efficiency due to poor light penetration into the reactor) and demonstrate the scaleability and economic viability of our next generation of biodiesel.","2022-08-18 17:06:00","233154","10.3030/966788"
"695618","Photonis","SIGNED","Isotope Fractionation of Light Elements Upon Ionization: Cosmochemical and Geochemical Implications","2017-01-01","2022-06-30","2810229","2810229","H2020-EU.1.1.","ERC-ADG-2015","2016-08-02","H2020","ERC-2015-AdG","ERC-2015-AdG","ERC-ADG","","Light elements such as hydrogen and nitrogen present large isotope variations among solar system objects and reservoirs (including planetary atmospheres) that remain unexplained at present. Works based on theoretical approaches are model-dependent and do not reach a consensus. Laboratory experiments are required in order to develop the underlying physical mechanisms. The aim of the project is to investigate the origins of and processes responsible for isotope variations of the light elements and noble gases in the Solar System through an experimental approach involving ionization of gaseous species. We will also investigate mechanisms and processes of isotope fractionation of atmophile elements in planetary atmospheres that have been irradiated by solar UV photons, with particular reference to Mars and the early Earth. Three pathways will be considered: (i) plasma ionisation of gas mixtures (H2-CO-N2-noble gases) in a custom-built reactor; (ii) photo-ionisation and photo-dissociation of the relevant gas species and mixtures using synchrotron light; and (iii) UV irradiation of ices containing the species of interest. The results of this study will shed light on the early Solar System evolution and on processes of planetary formation.","2022-08-24 09:00:00","204887","10.3030/695618"
"671465","VOLUMETRIQ","CLOSED","Volume Manufacturing of PEM FC Stacks for Transportation and In-line Quality Assurance","2015-09-01","2019-08-31","4988450,25","4961950","H2020-EU.3.4.","FCH-01.2-2014","2015-07-13","H2020","H2020-JTI-FCH-2014-1","H2020-JTI-FCH-2014-1","FCH2-RIA","","The principal aim of the project is to develop an EU-centric supply base for key automotive PEM fuel cell components that achieve high power density and with volume production capability along with embedded quality control as a key focus - to enable the establishment of a mature Automotive PEM fuel cell manufacturing capability in Europe. It will exploit existing EU value adding competencies and skill sets to enhance EU employment opportunities and competitiveness while supporting CO2 reduction and emissions reduction targets across the Transport sector with increased security of fuel supply (by utilising locally produced Hydrogen).","2022-08-16 22:28:00","198042","10.3030/671465"
"674867","KAMINLER","CLOSED","Support services to IMProve innovation and competitiveness of business in Lombardia and Emilia-Romagna","2015-01-01","2016-12-31","522974","522974","H2020-EU.2.3.","INNOVATION","2015-08-05","H2020","H2020-Adhoc-2014-20","H2020-Adhoc-2014-20","CSA","","The objective of the present action is the establishment and delivery of a specific Enterprise Europe Network service designed to enhance the innovation management capacity of SMEs, by providing in-depth support in the areas where these services are absent or unaffordable on local markets. The service will also aim at supporting beneficiaries of the SME Instrument (H2020) dealing with coaching assignments and addressing specific innovation weaknesses.","2022-08-16 22:30:00","198256","10.3030/674867"
"892669","FAST","SIGNED","Ferroelectric Acousto-optic Synaptic Technology (FAST)","2020-08-01","2022-07-31","178320","178320","H2020-EU.1.3.","MSCA-IF-2019","2020-03-30","H2020","H2020-MSCA-IF-2019","H2020-MSCA-IF-2019","MSCA-IF-EF-ST","","Efforts are being made to develop bio-inspired optical neuro-synaptic networks to support “neuromorphic computing” for ultra-fast communication. The idea is to split the information of an optical signal using an “acousto-optic modulator” (synapse) into multiple signals. The signals are then communicated through multiple parallel channels similar to neurons and recombined at the receiver end by using another acousto-optic modulator. Such neuro-synaptic networks are targeted for less than 100 mW power budget and greater than 100 GHz communication bandwidths which are currently hindered by the performance of the piezoelectric transducer used in the acousto-optic modulators. It generates high-frequency acoustic waves inside the attached waveguide which act as dynamic optical gratings offering periodic modification of the refractive index of the medium through which the light is traveling. To solve this issue, the applicant proposes exploring optically birefringent ferroelectrics with strong elasto-optic coefficients as stand-alone acousto-optic modulators. The project aims for the development of a CMOS compatible 100 GHz-THz range ferroelectric acousto-optic modulator (FAOM) and its integration in a self-learning neuro-synaptic network. The applicant will unite his expertise in materials engineering and photo-ferroelectrics with Katholieke Universiteit Leuven’s (KUL) and IBM’s knowledge of the integration and characterization of neuromorphic networks with the following objectives: 1. Growth of CMOS compatible strain-engineered BaTiO3 (BTO) heterostructures.2. Fabrication and characterization of two CMOS integrated ferroelectric (BTO) acousto-optic modulator designs based on (2.1) photo-induced acoustic strain gradients by optical control of ferroelectric domains and (2.2) acoustic confinement. 3. Demonstration of FAOM-based self-learning optical convolution neuro-synaptic network.","2022-08-18 16:58:00","228367","10.3030/892669"
"956962","I-SPOT","SIGNED","Intelligent Ultra Low-Power Signal Processing for Automotive","2020-11-01","2024-10-31","512640","512640","H2020-EU.1.3.","MSCA-ITN-2020","2020-07-08","H2020","H2020-MSCA-ITN-2020","H2020-MSCA-ITN-2020","MSCA-ITN-EID","","Smart autos need to process and react to different types of stimuli from the surrounding environment. This data sensing and processing is performed with the support of different sensors, gathered data and the proper hardware platform to process the received data and react properly to the simuli whenever required. This project targets audio stimuli and considers two important challenges: Processing and localisation of the Audio signal based on the classic as well as deep learning methods","2022-08-18 23:34:00","230379","10.3030/956962"
