projectID,topic,title
685105,ICT-37-2015-1,Open Disruptive Innovation Scheme (implemented through the SME instrument)
701002,FTIPilot-1-2015,Fast Track to Innovation Pilot
732678,ICT-03-2016,SSI - Smart System Integration
662861,PHC-12-2014-1,Clinical research for the validation of biomarkers and/or diagnostic medical devices
868418,EIC-SMEInst-2018-2020,SME instrument
876524,EIC-SMEInst-2018-2020,SME instrument
689954,SC5-04-2015,Improving the air quality and reducing the carbon footprint of European cities
872370,MSCA-RISE-2019,Research and Innovation Staff Exchange
650796,ICT-37-2014-1,Open Disruptive Innovation Scheme (implemented through the SME instrument)
651036,ICT-37-2014-1,Open Disruptive Innovation Scheme (implemented through the SME instrument)
838823,MSCA-IF-2018,Individual Fellowships
654124,INFRADEV-1-2014,Design studies
821135,JTI-CS2-2017-CfP07-SYS-02-36,Advanced Load Sensing technology for aerospace applications
859111,EIC-SMEInst-2018-2020,SME instrument
971149,EIC-FTI-2018-2020,Fast Track to Innovation (FTI)
645267,ICT-22-2014,Multimodal and Natural computer interaction
847630,EIC-SMEInst-2018-2020,SME instrument
886231,EIC-SMEInst-2018-2020,SME instrument
672598,ICT-37-2014-1,Open Disruptive Innovation Scheme (implemented through the SME instrument)
768776,EE-07-2016-2017,Behavioural change toward energy efficiency through ICT
700071,DS-04-2015,Information driven Cyber Security Management
650314,PHC-12-2014-1,Clinical research for the validation of biomarkers and/or diagnostic medical devices
883204,SU-DRS04-2019-2020,"Chemical, biological, radiological and nuclear (CBRN) cluster"
821953,SPACE-16-TEC-2018,Access to space
893369,MSCA-IF-2019,Individual Fellowships
783458,SMEInst-09-2016-2017,Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
645239,ICT-02-2014,Smart System Integration
897735,MSCA-IF-2019,Individual Fellowships
826851,EIC-SMEInst-2018-2020,SME instrument
723082,FOF-03-2016,Zero-defect strategies at system level for multi-stage manufacturing in production lines
727301,DS-03-2016,Increasing digital security of health related data on a systemic level
729057,SMEInst-13-2016-2017,Engaging SMEs in security research and development
817113,EIC-SMEInst-2018-2020,SME instrument
644267,ICT-02-2014,Smart System Integration
896850,MSCA-IF-2019,Individual Fellowships
703566,MSCA-IF-2015-EF,Marie Skłodowska-Curie Individual Fellowships (IF-EF)
797965,MSCA-IF-2017,Individual Fellowships
969065,EIC-SMEInst-2018-2020,SME instrument
687148,JTI-CS2-2014-CFP01-SYS-02-01,Smart Integrated Wing – Life extended hydrostatic & lubricated systems
830294,EIC-SMEInst-2018-2020,SME instrument
811977,EIC-SMEInst-2018-2020,SME instrument
774303,SMEInst-07-2016-2017,"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
709595,PHC-12-2015-1,Clinical research for the validation of biomarkers and/or diagnostic medical devices
747493,MSCA-IF-2016,Individual Fellowships
687593,ICT-24-2015,Robotics
719241,Space-SME-2015-1,SME Instrument
784480,SMEInst-11-2016-2017,"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
825473,ICT-12-2018-2020,Big Data technologies and extreme-scale analytics
713771,GV-8-2015,Electric vehicles’ enhanced performance and integration into the transport system and the grid
971225,EIC-FTI-2018-2020,Fast Track to Innovation (FTI)
877102,EIC-SMEInst-2018-2020,SME instrument
